time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.002282420940365e-08,-7.488817479681462e-08,9.999227696890049,6.2829604976372035,6.282921228502289,0.0,1.1758857281926086e-05,-1.077418083506241e-05,-0.025743629553743784,-0.012553396169101828,-0.015104764346528948,0.0,395.48021451363917,394.0867041881182,395.78968164031545,394.6328121162119
0.12000000000000001,1.1715673388985097e-05,-1.0050880533882001e-05,10.005353918208824,6.281936241481638,6.282014397669805,0.0,0.0004898079127313791,-0.00043038048941141115,0.2299343965805069,-0.028128139065454014,-0.015133577765290162,0.0,483.11861007933214,483.1164428529612,485.02422686132843,483.8533007826192
0.18,7.473164640476243e-05,-7.49829452944031e-05,10.026529683936015,6.280235856086103,6.280950567516603,0.0,0.0017317878141952445,-0.0019433259094559414,0.4758535384949202,-0.028766319884651195,-0.023508501610134694,0.0,482.2677002579416,481.6349035476075,480.1940752009738,480.1455161640452
0.23999999999999996,0.00022849630220379776,-0.00025752827234591387,10.057604549963784,6.278546712611334,6.279984209035339,0.0,0.0035089903465961884,-0.004311526383099732,0.5599364579234242,-0.026952155019450138,-0.004357921902147545,0.0,431.24525912009943,432.85965302669354,432.0196019933598,432.1722801110516
0.3,0.0005155729016619579,-0.0006324474001680657,10.097073280687132,6.276571174365607,6.279618497357088,0.0,0.006096013216072996,-0.008389258666462306,0.7555775098148791,-0.04887441377101079,-0.009818357328892276,0.0,466.85641866967933,466.43033581860635,467.44710854157205,465.7354306546069
0.36000000000000004,0.0009767898968195943,-0.0013213958730313841,10.150688329228092,6.273687285349812,6.27886240091564,0.0,0.009362362213981247,-0.014946472202206794,1.031380072182923,-0.04649339062779079,-0.018847376164817443,0.0,490.3333531594765,489.6623521572706,490.1858899861288,490.3615981594517
0.4200000000000001,0.0016342014440827045,-0.0024310892501508627,10.216181306306671,6.270999364331006,6.278290580062297,0.0,0.012635444482777118,-0.022329514393759978,1.1516019682606986,-0.041609076242080614,0.004543982175164078,0.0,443.2805213072698,445.19842079253056,444.2887402910967,444.6878130042954
0.48000000000000015,0.0024774340669421403,-0.003993191990836511,10.285195563540144,6.268488881733862,6.2786224383117,0.0,0.015446015324228403,-0.029957921484580305,1.1488731982579636,-0.042309936814584684,0.007435353345851998,0.0,404.3963461216571,404.6565893618718,404.26404377405026,404.1997607304524
0.5400000000000001,0.0034935198857411016,-0.0060928703560662305,10.356389387372236,6.265839519486141,6.278779504039669,0.0,0.018391167765436985,-0.04028503326177664,1.22417230805683,-0.048129263424370725,-0.009372250203305905,0.0,430.5685251489346,429.144348554663,431.10328771537473,430.6101631726346
0.6000000000000002,0.004705112391485178,-0.008938372661759831,10.436166165271722,6.263336485101583,6.27827426615217,0.0,0.02205727129885223,-0.05487704433711064,1.4348068198223327,-0.03126608874002104,-0.0065822234417295625,0.0,471.435549768261,471.6511792469967,472.23891432413615,473.5368614667902
0.6600000000000003,0.006127853940197787,-0.012633546068242189,10.524520343994707,6.2613026277342705,6.277891741655459,0.0,0.02540518717823127,-0.06848523029697236,1.5102310340215213,-0.03976081949310338,-0.005964939546994342,0.0,430.3099128777579,430.36226249518865,432.29676175961106,431.5799167268071
0.7200000000000003,0.007754367476938755,-0.017169511098625436,10.61658860194018,6.258830291251112,6.277794101889707,0.0,0.0288319554148707,-0.08294132763268729,1.5586400322969591,-0.04426328367734434,0.005879357972344116,0.0,421.79056232177606,422.81217375505344,423.0230916904042,422.63423634092584
0.7800000000000004,0.00962072561270724,-0.022783519008372718,10.718094579080685,6.255914834406644,6.278294774441697,0.0,0.0333233719327786,-0.10453300549252975,1.8244975684444873,-0.059069886316604855,0.01286802153210738,0.0,489.03717335458,489.5572914247943,489.4084487864127,488.30396540856077
0.8400000000000004,0.01173472191268462,-0.0297343322771758,10.834216030639064,6.252651077804746,6.279630592237986,0.0,0.03700937380665729,-0.12755731893289252,2.045835867939677,-0.04639098848072328,0.03642790748849836,0.0,476.2364057432638,478.03494448879724,476.53016348344545,477.49650605943407
0.9000000000000005,0.014024555679671251,-0.0380693978056427,10.9612996434594,6.250867626124904,6.281818240894786,0.0,0.03908008327420913,-0.1505051009724324,2.1900113502550895,-0.00841436856681998,0.036526521838963814,0.0,454.7397572321707,454.74822832101955,453.3650419662262,456.4054649104569
0.9600000000000005,0.016386747332124665,-0.04769246330085608,11.09331411336083,6.250059352482808,0.0009812836910745304,0.0,0.039454201909157126,-0.17031989176776158,2.2104287047575175,-0.026229214870384536,0.043909004129218825,0.0,415.5764237899465,416.2238733520044,416.5014212741097,414.94054805532033
1.0200000000000005,0.018716987030723272,-0.0587369491432832,11.232979304448735,6.248988994797244,0.003061149009266906,0.0,0.03791451850791922,-0.19797094850891217,2.444599270904254,-0.004864307338732494,0.0004172008343704889,0.0,483.85885807015046,480.57396500643966,481.428374029473,483.04218601462435
1.0800000000000005,0.020927398002670416,-0.07133444658389329,11.383012243145506,6.248097063516029,0.002919564237207517,0.0,0.035771975530997466,-0.2219688609390093,2.5562525714485087,-0.06445142623693993,-0.008590164272003778,0.0,446.85321856860116,446.11841372711467,448.84194078040247,443.9794258587605
1.1400000000000006,0.02300759367544283,-0.08548072159465828,11.541826634184504,6.243964046665514,0.0029550699845337647,0.0,0.03359141461970776,-0.2500127319591384,2.7371249403420777,-0.07967364084795349,0.01450982022619012,0.0,467.37875845906063,469.17564742815813,468.4930401745932,467.30456665395235
